"neighborhood","unemployment_rate","poverty_rate","urban_density","ethnic_diversity"
"N1",10.7515504024923,38.920833633747,13674.471792765,0.870419386029244
"N2",20.7661027088761,26.3333539047744,11313.6408738792,0.821839236095548
"N3",13.179538436234,31.9392658863217,10686.0817652196,0.652564222738147
"N4",22.6603480800986,29.3158350489102,14931.2373194844,0.736373934149742
"N5",23.8093456858769,17.5731170666404,10868.4695893899,0.11969094760716
"N6",5.91112998779863,37.4956242600456,11502.3656180128,0.482236776873469
"N7",15.5621097609401,21.1521933588665,9528.79229653627,0.706767630018294
"N8",22.8483808878809,16.0514883382712,10129.7042453662,0.273126348666847
"N9",16.0287002893165,23.1980179820675,6469.91684753448,0.354544806107879
"N10",14.1322947060689,38.8625912286807,4765.36376774311,0.28530062828213
